neighborhood,zipCode,bedRoomNumber,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,baths,rent,sqft,availability,deposit,leaseLength
Mt Baker,98144,1,496.5,,,90.0,70.0,9574.5,1.0,1253.5,571.0,1.0,1062.5,12.0
Mt Baker,98144,2,428.0,,,90.0,70.0,9253.0,1.0,1995.0,1130.0,1.0,1995.0,12.0
Mt Baker,98144,4,685.0,,,41.0,45.0,10222.0,3.0,6000.0,2610.0,1.0,,
North Admiral,98116,1,181.52272727272728,5.0,8.0,90.18181818181819,42.01136363636363,4604.795454545455,1.0,2006.025641025641,634.0056818181819,1.0,,
North Admiral,98116,2,137.0,5.0,,89.0,45.0,4644.266666666666,1.6,2281.818181818182,880.4333333333333,1.0,,
North Admiral,98116,4,570.0,,,91.0,43.0,9757.0,3.0,3795.0,1850.0,1.0,3795.0,12.0
North Beach/ Blue Ridge,98117,2,646.0,,,51.0,45.0,9923.0,1.0,1695.0,1000.0,1.0,,
North Beacon Hill,98144,1,362.67724867724866,5.0,2.0,79.55026455026454,73.70370370370371,6419.6349206349205,1.0,2021.529761904762,660.5873015873016,1.0,500.0,12.0
North Beacon Hill,98144,2,369.90425531914894,4.98876404494382,2.0,79.64893617021276,73.44680851063829,6499.63829787234,1.9574468085106382,3123.0238095238096,1027.3191489361702,1.0,1600.0,12.0
North College Park,98103,1,605.0,,,86.0,61.0,9932.5,1.0,1445.0,625.0,1.0,750.0,12.0
North College Park,98103,2,503.5,,,84.5,62.0,9590.5,1.0,1797.5,825.0,1.0,1275.0,12.0
North College Park,98133,1,292.95454545454544,4.0,3.7777777777777777,71.04545454545455,63.22727272727273,7633.090909090909,1.0227272727272727,1404.05,637.9090909090909,1.0,,
North College Park,98133,2,273.4375,4.0,3.75,70.6875,63.375,7494.8125,1.71875,1860.6666666666667,1028.21875,1.0,,
North College Park,98133,3,231.0,,4.0,73.0,64.0,6705.0,2.0,,1600.0,,,
North Delridge,98106,1,128.0,,3.0,73.0,57.0,4393.055555555556,1.106060606060606,1814.9166666666667,707.8181818181819,1.0,,
North Delridge,98106,2,128.0,,3.0,73.0,57.0,4392.818181818182,2.0,2358.7272727272725,1086.090909090909,1.0,,
North Delridge,98106,3,637.0,,,53.0,52.0,9914.0,2.5,2895.0,1540.0,1.0,,
North Delridge,98126,1,143.0,,16.0,81.0,58.0,4784.277777777777,1.1388888888888888,1736.764705882353,660.2777777777778,1.0,,
North Delridge,98126,2,143.0,,16.0,81.0,58.0,4792.2,2.0,2528.2,1009.8,1.0,,
Phinney Ridge,98103,2,725.0,,,81.0,52.0,10505.0,1.0,2995.0,1340.0,1.0,,
Phinney Ridge,98117,3,679.0,,,87.0,52.0,10151.0,2.5,4495.0,2263.0,1.0,,
Pike Place Market,98101,1,236.59574468085106,,10.955555555555556,98.70212765957447,100.0,6760.872340425532,1.0,2166.25,620.7234042553191,1.0,1162.5,12.0
Pike Place Market,98101,2,258.6,,11.88888888888889,98.5,100.0,6889.2,1.8,3505.8333333333335,1122.2,1.0,2000.0,12.0
Pike Place Market,98121,1,4.0,,4.0,98.0,100.0,180.65,1.025,3060.2758620689656,766.1,1.0,,
Pike Place Market,98121,2,4.0,,4.0,98.0,100.0,187.78571428571428,2.142857142857143,6749.1,1438.1785714285713,1.0,,
Pinehurst,98125,1,342.72727272727275,,2.0,76.0,56.81818181818182,8028.272727272727,1.0,1330.111111111111,568.1818181818181,1.0,1400.0,12.0
Pinehurst,98125,2,439.4,,2.0,76.2,55.6,8870.4,1.4,1747.5,870.8,1.0,1566.6666666666667,12.0
Pioneer Square,98104,1,312.3980582524272,4.0,8.529411764705882,97.94174757281553,100.0,6113.9514563106795,1.0,1459.3103448275863,521.8817204301075,1.0,2900.0,12.0
