neighborhood,Unnamed: 0_x,zipCode,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Southern Heights-Boulevard Park,300.0659340659341,98168.0,,10.802197802197803,34.61538461538461,35.0,6058.626373626374,1.7032967032967032,1.2857142857142858,1674.4395604395604,867.7527472527472,1.0,,
Stevens,250.30851063829786,98116.46808510639,4.975609756097561,1.74,93.32978723404256,72.59574468085107,6478.765957446809,1.0851063829787233,1.0904255319148937,1516.1475409836066,460.7956989247312,1.0,3300.0,12.0
Tukwila Urban Center,239.23809523809524,98188.0,5.0,1.0,58.333333333333336,47.904761904761905,5198.119047619048,1.5952380952380953,1.6726190476190477,3023.8571428571427,1078.625,1.0,,
University District,207.62229102167183,98105.0,4.711764705882353,2.460431654676259,96.10835913312694,80.9876160990712,5544.1547987616095,1.3962848297213621,1.173374613003096,1936.356862745098,598.5807453416149,1.0,1130.0,10.5
Wallingford,191.86153846153846,98103.2,4.842105263157895,2.72,79.9,62.34615384615385,5702.5615384615385,1.2538461538461538,1.1730769230769231,2510.8,738.4307692307692,1.0,2000.0,8.0
Wedgewood,387.962962962963,98115.0,,4.0,69.03703703703704,51.99326599326599,6620.1447811447815,1.0168350168350169,1.0134680134680134,1149.4150197628458,266.5723905723906,1.0,1000.0,
West Seattle,239.34883720930233,98124.6046511628,,1.6486486486486487,80.13953488372093,56.674418604651166,6861.906976744186,1.2093023255813953,1.0232558139534884,1652.642857142857,666.5581395348837,1.0,,
West Woodland,311.68,98107.0,,2.0,95.24,56.0,7593.32,1.68,1.48,2491.25,896.68,1.0,,
Westlake,118.3225806451613,98109.0,5.0,4.733333333333333,75.3763440860215,73.58064516129032,3578.3172043010754,1.2795698924731183,1.1666666666666667,2358.9205298013244,758.744623655914,1.0,1191.6666666666667,12.0
White Center,338.0,98146.0,2.0,,62.0,,8477.0,1.4,1.0,1150.2,698.8,1.0,,
Whittier Heights,304.39130434782606,98117.0,5.0,2.0,88.30434782608695,53.0,7721.739130434783,1.173913043478261,1.1304347826086956,1771.9130434782608,677.4565217391304,1.0,1200.0,12.0
