,propertyName,room,costRange
455,Metroline Flats,C,a
456,Metroline Flats,1 Bedroom ,"1,735 - 1,895"
457,Metroline Flats,2 Bedrooms ,"2,845 - 2,915"
458,Cypress,Studio ,"1,950"
459,Cypress,1 Bedroom ,"2,040 - 2,815"
460,Cypress,2 Bedrooms ,"3,525 - 3,540"
461,Upton Flats,1 Bedroom ,"1,580 - 1,995"
462,Upton Flats,2 Bedrooms ,"2,495 - 2,695"
463,The Summit at Lake Union,Studio ,"1,501 - 2,456"
464,The Summit at Lake Union,1 Bedroom ,"1,742 - 3,240"
465,The Summit at Lake Union,2 Bedrooms ,"2,724 - 4,076"
466,Greenhouse Apartments,1 Bedroom ,"1,880 - 2,800"
467,Greenhouse Apartments,C,a
468,The Danforth,Studio ,"2,019 - 4,086"
469,The Danforth,1 Bedroom ,"2,297 - 4,304"
470,The Danforth,2 Bedrooms ,"3,195 - 7,644"
471,The Danforth,3 Bedrooms ,"5,461 - 8,545"
472,Cosmopolitan,C,a
473,Cosmopolitan,1 Bedroom ,"1,675 - 1,699"
474,Cosmopolitan,C,a
475,Epicenter,Studio ,"1,786 - 4,687"
476,Epicenter,1 Bedroom ,"2,225 - 5,738"
477,Epicenter,2 Bedrooms ,"2,828 - 9,338"
478,Muse,Studio ,"1,505 - 1,890"
479,Union Park,Studio ,"1,450"
480,Union Park,1 Bedroom ,"1,746 - 2,668"
481,Union Park,2 Bedrooms ,"2,570"
482,The Martin,Studio ,"2,230 - 3,230"
483,The Martin,1 Bedroom ,"2,840 - 4,885"
484,The Martin,2 Bedrooms ,"3,500 - 8,195"
485,Keelson Ballard,1 Bedroom ,"1,775 - 1,965"
486,Keelson Ballard,2 Bedrooms ,"2,840"
487,Helix Ellipse,Studio ,"1,423 - 1,808"
488,Helix Ellipse,1 Bedroom ,"1,605 - 2,138"
489,Helix Ellipse,C,a
490,The Whittaker,Studio ,"1,420 - 1,950"
491,The Whittaker,1 Bedroom ,"1,455 - 2,800"
492,The Whittaker,2 Bedrooms ,"2,950 - 4,130"
493,Promenade at the Park,Studio ,"1,327 - 2,660"
494,Promenade at the Park,1 Bedroom ,"1,366 - 2,900"
495,Promenade at the Park,2 Bedrooms ,"1,987 - 11,297"
496,Willows Court,1 Bedroom ,"1,510 - 2,974"
497,Willows Court,C,a
498,King Arthurs Court,1 Bedroom ,"1,424 - 2,180"
499,King Arthurs Court,2 Bedrooms ,"2,018 - 2,815"
500,King Arthurs Court,C,a
501,Guinevere,Studio ,"1,542 - 2,729"
502,Guinevere,1 Bedroom ,"1,835 - 2,871"
503,Guinevere,2 Bedrooms ,"2,468 - 4,349"
504,Astro Apartments,Studio ,"1,615 - 1,700"
505,Astro Apartments,1 Bedroom ,"1,975 - 2,275"
506,Astro Apartments,C,a
507,4730 California,Studio ,"1,746 - 3,734"
