neighborhood,zipCode,bedRoomNumber,baths,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,rent,sqft,availability,deposit,leaseLength
Highline,98168,2,2.0,382.0,4.0,,45.0,,9027.0,,1012.0,,,
Highline,98168,3,2.0,382.0,4.0,,45.0,,9025.833333333334,1657.0,1315.5,1.0,,
Interbay,98119,1,1.0,205.11764705882354,5.0,2.0,73.94117647058823,53.529411764705884,6086.117647058823,1926.2272727272727,671.0666666666667,1.0,,
Interbay,98119,2,2.0,122.0,5.0,,75.0,53.0,4180.125,2941.875,1138.25,1.0,,
Interbay,98199,1,1.0,624.0,,,54.0,49.0,9881.0,1395.0,650.0,1.0,,
Interbay,98199,2,1.0,688.0,,,45.0,49.0,10225.0,1700.0,,1.0,,
Junction,98116,1,1.0,207.62222222222223,4.397260273972603,2.9339622641509435,97.86111111111111,53.861111111111114,5504.05,1703.8294573643411,644.1694444444445,1.0,,
Junction,98116,2,1.0,208.25,4.066666666666666,2.0,98.0,54.0,4966.4375,2227.0714285714284,978.21875,1.0,,
Junction,98116,2,2.0,185.53333333333333,4.0,2.9545454545454546,98.0,54.0,5399.2,2850.1111111111113,1014.7,1.0,,
Junction,98136,1,1.0,149.0,,5.0,92.0,53.0,5073.5,1893.3181818181818,651.5,1.0,,
Junction,98136,2,1.0,149.0,,5.0,92.0,53.0,5087.0,2665.0,887.0,,,
Junction,98136,2,2.0,149.0,,5.0,92.0,53.0,5077.666666666667,2455.6666666666665,1098.6666666666667,1.0,,
Lake City,98125,1,1.0,240.5702479338843,4.573770491803279,2.308988764044944,83.58677685950413,57.44214876033058,5977.371900826446,1548.9150943396226,639.4042553191489,1.0,650.0,12.0
Lake City,98125,2,1.0,251.44827586206895,4.176470588235294,4.0,79.17241379310344,57.0,6729.172413793103,1816.157894736842,876.5217391304348,1.0,2650.0,
Lake City,98125,2,1.5,377.0,,5.0,71.5,56.5,8499.0,1797.5,1100.0,1.0,1000.0,12.0
Lake City,98125,2,2.0,250.5625,5.0,2.3863636363636362,83.20833333333333,57.4375,6103.354166666667,2115.5652173913045,974.15625,1.0,,
Lake City,98125,3,1.0,355.0,4.0,,85.0,58.0,8562.0,1624.0,1100.0,,,
Lake City,98125,3,1.5,586.0,,,68.0,55.0,9835.0,2136.0,1400.0,1.0,1000.0,12.0
Lake City,98125,3,2.0,270.125,5.0,6.0,87.875,59.0,7655.125,2749.6666666666665,1163.625,1.0,,
Lake City,98125,3,2.25,283.0,5.0,,88.0,59.0,7912.0,,1849.0,,,
Lake City,98125,3,3.25,283.0,5.0,,88.0,59.0,7913.0,,2033.0,,,
Lake City,98125,3,3.5,645.0,,,53.0,53.0,9922.0,2899.0,,1.0,,
Lake City,98125,4,2.0,355.0,4.0,,85.0,58.0,8563.0,1813.0,1600.0,,,
Lake City,98125,4,3.0,703.0,,,19.0,41.0,10344.0,3850.0,3380.0,1.0,,
Lake City,98125,4,3.5,283.0,5.0,,88.0,59.0,7915.0,,2294.3333333333335,,,
Lake City,98125,5,5.0,667.0,,,21.0,39.0,10018.0,9800.0,4380.0,1.0,,
Lake City,98125,6,3.0,735.0,,,88.0,60.0,10632.0,3150.0,2400.0,1.0,,
Lake Union,98109,1,1.0,86.0,,11.0,77.0,77.0,3262.625,2295.625,700.296875,1.0,,
Lake Union,98109,2,2.0,86.0,,11.0,77.0,77.0,3273.1666666666665,3548.75,1049.875,1.0,,
Laurelhurst,98105,1,1.0,621.0,,,79.0,61.0,9878.0,1350.0,,1.0,,
